"120326,256006,""d_rrhh_convenio aplicable"",,teleSYGRIS_D_RRHH_CONVENIO_APLICABLE_256006,255990,NULL,0";;
"120326,256007,""d_rrhh_area funcional"",,teleSYGRIS_D_RRHH_AREA_FUNCIONAL_256007,255990,NULL,0";;
120326,256036,r_rrhh_altas,,teleSYGRIS_R_RRHH_ALTAS_256036,255990,NULL,0;;
120326,256037,r_rrhh_bajas,,teleSYGRIS_R_RRHH_BAJAS_256037,255990,NULL,0;;
120326,257321,r_rhh_altas_V,,teleSYGRIS_R_RHH_ALTAS_V_257321,255990,NULL,0;;
120326,257322,r_rrhh_bajas_V,,teleSYGRIS_R_RRHH_BAJAS_V_257322,255990,NULL,0;;
120326,278061,d_rrhh_rotante,,teleSYGRIS_D_RRHH_ROTANTE_278061,255990,NULL,0;;
120326,280435,r_rrhh_equivalencia_pais_juridica,,teleSYGRIS_R_RRHH_EQUIVALENCIA_PAIS_JURIDI_280435,255990,NULL,0;;
"120326,255985,""u_rrhh_informacion solicitada"",,teleSYGRIS_U_RRHH_INFORMACION_SOLICITADA_255985,255990,NULL,0";;
120326,255986,d_rrhh_genero,,teleSYGRIS_D_RRHH_GENERO_255986,255990,NULL,0;;
"120326,255987,""d_rrhh_unidad de negocio"",,teleSYGRIS_D_RRHH_UNIDAD_DE_NEGOCIO_255987,255990,NULL,0";;
"120326,255988,""d_rrhh_clase de empleado"",,teleSYGRIS_D_RRHH_CLASE_DE_EMPLEADO_255988,255990,NULL,0";;
"120326,255991,""d_rrhh_nivel de puesto"",,teleSYGRIS_D_RRHH_NIVEL_DE_PUESTO_255991,255990,NULL,0";;
120326,255993,d_rrhh_subactividades,,teleSYGRIS_D_RRHH_SUBACTIVIDADES_255993,255990,NULL,0;;
"120326,255994,""d_rrhh_reduccion de jornada"",,teleSYGRIS_D_RRHH_REDUCCION_DE_JORNADA_255994,255990,NULL,0";;
"120326,255995,""d_rrhh_tipo de contrato"",,teleSYGRIS_D_RRHH_TIPO_DE_CONTRATO_255995,255990,NULL,0";;
120326,255997,d_rrhh_nacionalidad,,teleSYGRIS_D_RRHH_NACIONALIDAD_255997,255990,NULL,0;;
"120326,255998,""d_rrhh_localizacion ciudad"",,teleSYGRIS_D_RRHH_LOCALIZACION_CIUDAD_255998,255990,NULL,0";;
"120326,255999,""d_rrhh_codigo entidad legal"",,teleSYGRIS_D_RRHH_CODIGO_ENTIDAD_LEGAL_255999,255990,NULL,0";;
"120326,257279,""u_rrhh_informacion solicitada_V"",,teleSYGRIS_U_RRHH_INFORMACION_SOLICITADA_V_257279,255990,NULL,0";;
"120326,255245,d_aliados_totalizadores_indicadores,""DATATYPE: Indicadores"",teleSYGRIS_D_ALIADOS_TOTALIZADORES_INDICAD_255245,252502,NULL,0";;
"120326,255772,""d_aliados auditorias"",,teleSYGRIS_D_ALIADOS_AUDITORIAS_255772,252502,NULL,0";;
