App_oid,Collection_oid,Field_id,Name,Datatype_id,Description,Required,Calculated,Formula,Translatable
"120326,187280,5656,""Factor N2O"",1,,0,1,""get_field_from_value('187281', '4734 = '~[4720]~' AND 4730 = '~[5141]~' AND 4729 = '~[5156]~'', null, '4733')"",0"
120326,187281,4734,Combustible,523,,0,0,,0
120326,187281,4729,Año,491,,0,0,,0
120326,187281,4730,País,490,,0,0,,0
"120326,187281,4731,""Factor CO2"",4,,0,0,,0"
"120326,187281,4732,""Factor CH4"",4,,0,0,,0"
"120326,187281,4733,""Factor N2O"",4,,0,0,,0"
"120326,187282,4735,""Unidad de medida"",524,,0,0,,0"
120326,187282,4736,Conversion,4,,0,0,,0
"120326,187284,4993,""Consumo eléctrico directamente facturado por compañía eléctrica"",505,""Consumo de electricidad que proviene directamente de la facturación de compañías eléctricas a Telefónica. Extraido de las facturas emitidas por la compañía eléctrica."",0,0,,0"
"120326,187284,4994,""Consumo eléctrico directamente facturado por compañía eléctrica pero atribuido a terceros"",505,""Consumo de electricidad que proviene directamente de la facturación de compañías eléctricas a Telefónica, pero que en realidad ha sido consumido por terceras empresas que están en nuestras instalaciones. Para calcular este consumo se tendrá en cuenta los KWh consumidos por terceros en nuestras instalaciones."",0,0,,0"
"120326,187284,4995,""Consumo eléctrico proveniente de otras fuentes distintas a la factura de compañía eléctrica"",505,""Consumo eléctrico proveniente de otras fuentes distintas a la factura de compañía eléctrica. Corresponde al consumo producido en sitios de terceros, compartidos o alquilados. Si no se dispone del dato real de consumo se estimará en función del acuerdo de alquiler. Si el lugar es compartido con varias operadoras, este consumo supondrá una fracción del total del sitio."",0,0,,0"
"120326,187284,4758,""Consumo total de Electricidad (Kwh)"",505,,0,1,[4993]+[4995]-[4994],0"
120326,187284,4738,Sociedad,501,,0,0,,0
120326,187284,4737,Periodo,500,,0,0,,0
120326,187284,4754,Instalación,493,,0,0,,0
"120326,187284,5183,Año,491,,0,1,""parent_field(""187189"", ""4698"")"",0"
"120326,187284,5184,País,490,,0,1,""parent_field(""187188"", ""4693"")"",0"
"120326,187284,6521,""Emisiones CH4 electricidad"",4,,0,1,""get_field_from_value('187302', '4762 = '~[5184]~' AND 4761 = '~[5183]~'', null, '6523')*[4758]/1000000"",0"
"120326,187284,6522,""Emisiones N2O electricidad"",4,,0,1,""get_field_from_value('187302', '4762 = '~[5184]~' AND 4761 = '~[5183]~'', null, '6524')*[4758]/1000000"",0"
"120326,187284,4756,""Emisiones CO2 location"",4,,0,1,[4771]*[4758]/1000000,0"
"120326,187284,4759,""Emisiones CO2eq location"",4,,0,1,1*[4756]+25*[6521]+298*[6522],0"
"120326,187284,4771,""Factor CO2 location"",4,,0,1,""get_field_from_value('187302', '4762 = '~[5184]~' AND 4761 = '~[5183]~'', null, '4764')"",0"
"120326,187284,5333,""Factor CO2 market"",4,,0,1,""get_field_from_value('187302', '4762 = '~[5184]~' AND 4761 = '~[5183]~'', null, '4763')"",0"
"120326,187284,5334,""Emisiones CO2 market"",4,,0,1,[5333]*[4758]/1000000,0"
"120326,187284,5335,""Emisiones CO2eq market"",4,,0,1,1*[5334]+25*[6521]+298*[6522],0"
120326,187302,4761,Año,491,,0,0,,0
120326,187302,4762,País,490,,0,0,,0
"120326,187302,6523,""Factor CH4 electricidad"",4,,0,0,,0"
"120326,187302,6524,""Factor N2O electricidad"",4,,0,0,,0"
"120326,187302,4763,""Factor CO2 market"",4,,0,0,,0"
"120326,187302,4764,""Factor CO2 location"",4,,0,0,,0"
"120326,187307,4996,""Energía Renovable"",516,""Energía Renovable comprada a empresas eléctricas directamente. No se considera lo equivalente comprado debido al mix energético del país. De la compra se obtiene una factura, emitida por la empresa eléctrica, en la que se manifiesta que la energía comprada es de origen renovable."",0,0,,0"
"120326,187307,5187,""Compra de Energía Renovable"",505,""*sólo en Data Centers"",0,1,[4775]+[4776]+[4777],0"
"120326,187307,4775,""Compra de Energía Renovable (SIN certificado de garantía)"",505,""*sólo en Data Centers"",0,0,,0"
"120326,187307,4776,""Compra de energía renovable (CON certificado de garantía)"",505,""*sólo en Data Centers"",0,0,,0"
"120326,187307,4777,""Compra de energía renovable mediante PPAs"",505,""*sólo en Data Centers"",0,0,,0"
"120326,187307,4778,""Autogeneración de Energía Renovable"",505,,0,0,,0"
"120326,187307,4779,""Venta de Energía Renovable al mercado eléctrico"",505,,0,0,,0"
"120326,187307,4780,""Consumo Total de Energía Renovable"",505,,0,1,[5187]+[4778],0"
120326,187307,4774,Sociedad,501,,0,0,,0
